filename,character,dialogue,scene
S02E14 The Prom Video.txt,All,Oh yeah we do. C'mon.,46
S02E14 The Prom Video.txt,All,"No, no, no.",56
S04E15 All The Rugby.txt,All,Oh!,50
S03E10 Rachel Quits.txt,All,That’s great! Hey! Excellent!,74
S02E24 Barry And Mindys Wedding.txt,All,Who?,2
S02E24 Barry And Mindys Wedding.txt,All,Wow!,2
S02E24 Barry And Mindys Wedding.txt,All,"Bye, Richard.",14
S02E24 Barry And Mindys Wedding.txt,All,Bye.,24
S02E24 Barry And Mindys Wedding.txt,All,What?!,48
S02E24 Barry And Mindys Wedding.txt,All,OH.....MY.....GOD!!,67
S03E04 The Metaphorical Tunnel.txt,All,Shhhh!,2
S06E19 Joeys Fridge.txt,All,Hi! Hey!,6
S06E19 Joeys Fridge.txt,All,Hi!,8
S06E19 Joeys Fridge.txt,All,Hi!,8
S06E19 Joeys Fridge.txt,All,Okay!,10
S06E19 Joeys Fridge.txt,All,Hey!,84
S01E01 Monica Gets A Roommate.txt,All,"Oh, yeah. Had that dream.",5
S01E01 Monica Gets A Roommate.txt,All,Hey! Paul! Hi! The Wine Guy! Hey!,37
S01E01 Monica Gets A Roommate.txt,All,Morning. Good morning.,70
S01E01 Monica Gets A Roommate.txt,All,"Cut, cut, cut, cut, cut, cut, cut..",89
S01E01 Monica Gets A Roommate.txt,All,Yes!,103
S01E01 Monica Gets A Roommate.txt,All,"Yeah. Yeah, I'll have a cup of coffee.",104
S02E22 The Two Parties.txt,All,Ohhh.,2
S02E22 The Two Parties.txt,All,Surprise.,21
S02E22 The Two Parties.txt,All,Surprise.,22
S05E23 In Vegas.txt,All,Yay!!,181
S05E23 In Vegas.txt,All,Yay!!,181
S05E23 In Vegas.txt,All,Roll-roll!!,188
S02E04 Phoebes Husband.txt,All,Huuh.,7
S02E04 Phoebes Husband.txt,All,"Yeah, show it. Show it. The nubbin, the nubbin, the nubbin.",8
S02E04 Phoebes Husband.txt,All,Huuh.,8
S02E04 Phoebes Husband.txt,All,Woah.,12
S02E04 Phoebes Husband.txt,All,Hi.,24
S10E10 Chandler Gets Caught.txt,All,That's so sweet.,84
S09E18 The Lottery.txt,All,"Oh, so sorry man! Sorry!",77
S09E18 The Lottery.txt,All,Wow!,86
S03E24 The Ultimate Fighting Champion.txt,All,Hey!,4
S03E24 The Ultimate Fighting Champion.txt,All,Ohh.,23
S06E13 Rachels Sister.txt,All,Ohh!,10
S04E21 The Invitation.txt,All,Oh yeah we do. C'mon.,133
S04E21 The Invitation.txt,All,"No, no, no.",139
S05E13 Joeys Bag.txt,All,Hey!,87
S04E05 Joeys New Girlfriend.txt,All,"Way to go, Phoebe!",26
S04E05 Joeys New Girlfriend.txt,All,"Ooh, that's great, I love those little guys.",27
S04E05 Joeys New Girlfriend.txt,All,Ohh!,27
S08E18 In Massapequa.txt,All,Hi!,12
S04E11 Phoebes Uterus.txt,All,Oh yeah!,22
S04E11 Phoebes Uterus.txt,All,Ohhhh.,34
S02E05 Five Steaks And An Eggplant.txt,All,"Hi, Julie!",8
